Book,huff,digr256,digr512,digr1024,Z
booksconcatenated.txt,4.492104769,40.2827642,36.16540527,35.38529897,853.2904389
COSC351Book9.txt,0.1453740597,1.03933692,0.9692730904,0.9434509277,39.50965977
COSC351Book8.txt,0.1570401192,1.175390959,1.075829029,1.064254284,41.00156522
COSC351Book1.txt,1.171580791,10.13840413,9.239419222,8.871388912,77.28481483
COSC351Book3.txt,0.2922222614,2.373552084,2.158349037,2.147273302,40.08681083
COSC351Book2.txt,0.09028697014,0.5668258667,0.5185940266,0.4941260815,14.97989607
COSC351Book11.txt,0.2272779942,1.828530073,1.635761976,1.570909739,263.5291841
COSC351Book6.txt,0.8699231148,7.251497984,6.670960903,6.692106962,42.85514379
COSC351Book7.txt,0.1803410053,1.389906883,1.214852095,1.197280884,47.77176285
COSC351Book10.txt,0.2319841385,1.839593172,1.693221807,1.679573059,69.21210599
COSC351Book12.txt,0.1336488724,0.9738161564,0.8849139214,0.851776123,38.09902906
COSC351Book5.txt,0.2950699329,2.319033861,2.07831192,2.002974987,85.80793405
COSC351Book4.txt,1.16962409,9.973543882,9.019545078,8.961452007,654.3306439
TotalExcludingConcat,4.96437335,40.86943197,37.15903211,36.47656727,1414.46855
