Book,huff,digr256,digr512,digr1024,Z
booksconcatenated.txt,2.159408808,11.26262093,59.72478008,37.67098594,3.572044849
COSC351Book9.txt,0.1017158031,0.3211882114,1.45907402,0.8535549641,0.1508581638
COSC351Book8.txt,0.0892791748,0.361191988,1.656507015,0.9981470108,0.1635417938
COSC351Book1.txt,0.5525140762,2.970592022,14.57458401,9.15734601,0.9044129848
COSC351Book3.txt,0.1514840126,0.7028410435,3.552900791,2.128179312,0.2639040947
COSC351Book2.txt,0.05754709244,0.1863749027,0.8117029667,0.5590910912,0.1038329601
COSC351Book11.txt,0.1214690208,0.5498542786,2.747832775,1.689286947,0.2168698311
COSC351Book6.txt,0.4193739891,2.123320103,10.63591099,7.275406837,0.653938055
COSC351Book7.txt,0.09631109238,0.416475296,2.091334105,1.326730013,0.176856041
COSC351Book10.txt,0.1244130135,0.552803278,2.534515142,1.460081816,0.2104401588
COSC351Book12.txt,0.07899808884,0.3000807762,1.44488883,0.9130706787,0.1443400383
COSC351Book5.txt,0.1532549858,0.7022500038,3.422050714,2.008060932,0.2624628544
COSC351Book4.txt,0.550812006,2.922684908,16.13083696,9.325818062,0.9523568153
TotalExcludingConcat,2.497172356,12.10965681,61.06213832,37.69477367,4.203813791
